empty,singleton, 0.75,11,empty map iterator,singleton map iterator,empty list iterator,singleton list iterator,test empty iterator,test singleton iterator,empty iterator,singleton iterator,empty iterator,singleton iterator,test empty list iterator,test singleton list iterator,empty iterator,singleton iterator,empty iterator,singleton iterator,test singleton list iterator,test empty list serialization,test singleton list iterator,test empty list compatibility,test empty list sort,test singleton list iterator
hash code,iterator remove, 0.5,1,test list hash code,test list iterator remove
value,serialize, 0.5,1,bulk test map values,test full map serialization
last,convert, 0.5,1,last key,convert key
illegal,factory, 0.666666666666667,1,test illegal decorate,test factory decorate
bidi,cursor, 0.666666666666667,1,test bidi remove,test cursor remove
reverse,predicated, 0.666666666666667,1,reverse list iterator,predicated list iterator
switch,constant, 0.666666666666667,3,switch transformer,constant transformer,switch transformer,constant transformer,test switch transformer,test constant transformer
tree bidi,lazy sorted, 0.5,1,test tree bidi map,test lazy sorted map
add,reverse, 0.5,1,add comparator,reverse comparator
size,typed, 0.666666666666667,1,test size list,test typed list
identity,previous, 0.5,1,identity entry,previous entry
inverse,empty, 0.5,3,bulk test inverse map,test empty map iterator,bulk test inverse map,test empty map compatibility,inverse ordered bidi map,empty ordered map iterator
entry,transform, 0.5,4,entry iterator,transform iterator,entry iterator,transform iterator,entry value,transform value,entry key,transform key
map,return, 0.666666666666667,1,test map values,test return values
buffer,interrupted, 0.666666666666667,1,test buffer remove,test interrupted remove
ordered map,iterator iteration, 0.5,1,test unmodifiable ordered map,test unmodifiable iterator iteration
sub,value, 0.5,5,sub list,value list,bulk test sub list,test value list view,bulk test sub list,test value list view,sub list,value list,test sub list remove,test value list view
loop,transform, 0.666666666666667,1,looping list iterator,transformed list iterator
bounded,testpredicated, 0.5,1,bounded buffer,testpredicated buffer
list,empty, 0.75,10,list ordered map iterator,empty ordered map iterator,list ordered map entry,empty ordered map iterator,test list iterator,test empty iterator,test list iterator,test empty iterator,list iterator,empty iterator,list ordered iterator,empty ordered iterator,test list list iterator,test empty list iterator,list iterator,empty iterator,test list ordered set,test empty ordered iterator,test list ordered map,test empty ordered iterator
tree,verify, 0.5,1,tree map,verify map
complex,mismatch, 0.75,1,test instantiate factory complex,test instantiate factory mismatch
bean,iterable, 0.5,1,test bean map clone,abstract test iterable map
unique filter,empty ordered, 0.5,1,test unique filter iterator,test empty ordered iterator
insert,unmodifiable, 0.5,1,insert entry,unmodifiable entry
flat,bean, 0.666666666666667,3,flat map,bean map,test bean map clone,test flat map iterator,test bean map,test flat map
fixed size,create sub, 0.5,1,fixed size list iterator,create sub list iterator
unique,invoker, 0.666666666666667,1,test unique predicate,test invoker predicate
multi hash,reference identity, 0.5,1,test multi hash map,test reference identity map
do,delayed, 0.5,1,do remove,delayed remove
clear,iterator, 0.666666666666667,2,test map clear,test map iterator,test collection clear,test collection iterator
flat,composite, 0.666666666666667,2,flat map,composite map,test flat map,test composite map
or,either, 0.75,2,test or predicate ex,test either predicate ex,test or predicate,test either predicate
sort,insertion, 0.666666666666667,1,test sort order,test insertion order
factory,comparator, 0.666666666666667,2,factory utils,comparator utils,test null factory,test null comparator
max,first, 0.5,1,remove max,remove first
load,predicated, 0.5,1,load map,predicated map
predicate,exception, 0.666666666666667,2,test predicate transformer,test exception transformer,exception transformer,predicate transformer
add,proxy, 0.5,1,add iterator,proxy iterator
while,transformer, 0.666666666666667,2,test while closure,test transformer closure,while closure,transformer closure
list view,collection type, 0.5,1,test value list view,test value collection type
by index,from double, 0.5,1,test remove by index,test remove from double
bulk,leaf, 0.5,1,add bulk,add leaf
bean,decorate, 0.5,1,bean map,decorate map
tied,default, 0.75,2,tied map entry,default map entry,test tied map entry,test default map entry
to string,iterator remove, 0.5,1,test collection to string,test collection iterator remove
reverse,full, 0.5,4,test reverse list iterator,test full list compatibility,test reverse list sort,test full list compatibility,test reverse list iterator,test full list serialization,test reverse list sort,test full list serialization
lru,min, 0.5,1,remove lru,remove min
